Alpha-2code;Country;Category;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AL;Albania;Southeasteurope;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;325;425;491;452;436;462
AT;Austria;Centraleurope;580;576;608;607;574;575;597;597;600;590;562;573;579;578;565;560;564;570;579
BA;Bosnia and Herzegovina;Southeasteurope;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;356;354;332;340;340;311;349;340;354;352;356
BE;Belgium;Westerneurope;471;467;482;465;485;482;485;493;480;467;456;455;445;436;425;412;419;411;411
BG;Bulgaria;Southeasteurope;612;596;602;603;599;588;577;553;599;598;554;508;460;432;442;419;404;435;407
CH;Switzerland;Centraleurope;656;660;674;667;660;661;709;720;736;702;708;689;694;702;730;725;719;706;703
CY;Cyprus;Southeasteurope;628;650;655;670;684;688;694;704;728;729;689;672;657;618;614;638;640;637;#NV
CZ;Czech Republic;Centraleurope;335;274;279;280;279;289;297;294;306;317;318;320;308;307;310;316;339;344;351
DE;Germany;Centraleurope;642;632;640;601;587;565;564;582;589;592;602;626;619;615;631;632;633;627;615
DK;Denmark;Northerneurope;664;657;664;671;695;736;740;790;830;762;#NV;862;806;813;808;822;830;820;814
EE;Estonia;Centraleurope;453;366;401;414;445;433;398;449;392;339;305;301;280;293;357;359;376;390;405
EL;Greece;Southeasteurope;412;420;426;431;436;442;447;453;458;464;532;503;495;482;488;488;498;504;#NV
ES;Spain;Southerneurope;653;652;637;646;600;588;590;578;551;542;510;485;468;454;448;456;463;473;475
FI;Finland;Northerneurope;502;465;458;466;469;478;494;506;521;480;470;505;506;493;482;500;504;510;551
FR;France;Westerneurope;514;526;530;506;519;529;535;542;538;534;534;534;527;520;517;516;521;526;527
HR;Croatia;Centraleurope;262;#NV;#NV;#NV;304;336;384;399;415;405;379;384;391;404;387;393;403;416;432
HU;Hungary;Westerneurope;446;452;457;464;454;461;468;457;454;430;403;382;402;378;385;377;379;385;381
IE;Ireland;Westerneurope;599;699;692;730;737;731;792;772;718;651;624;616;585;#NV;562;#NV;581;576;#NV
IS;Iceland;Northerneurope;462;467;476;484;503;516;563;558;655;414;484;495;511;516;535;588;656;656;#NV
IT;Italy;Southerneurope;509;516;523;524;540;546;559;557;552;543;547;529;504;491;488;486;497;488;499
LT;Lithuania;Centraleurope;365;378;405;389;373;387;405;419;428;381;404;442;445;433;433;448;444;455;464
LU;Luxembourg;Centraleurope;654;646;653;678;679;672;683;695;697;679;679;666;652;616;626;607;609;615;610
LV;Latvia;Centraleurope;271;305;343;304;318;320;343;391;345;352;324;350;323;350;364;404;410;411;407
ME;Montenegro;Southeasteurope;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;524;494;497;484;503;518;509;530
MK;Macedonia;Southeasteurope;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;349;354;351;357;381;384;370;380;385;344;301
MT;Malta;Southerneurope;533;540;541;580;623;623;624;654;674;649;601;589;590;579;591;606;593;631;640
NL;Netherlands;Westerneurope;598;595;600;586;599;599;597;606;600;589;571;568;549;526;527;523;520;513;511
NO;Norway;Northerneurope;613;361;392;402;414;426;459;491;487;470;469;485;477;496;423;422;754;748;739
PL;Poland;Centraleurope;320;290;275;260;256;319;321;322;320;316;316;319;317;297;272;286;307;315;329
PT;Portugal;Southerneurope;457;454;441;449;445;452;465;471;518;520;516;490;453;440;453;460;474;487;508
RO;Romania;Southeasteurope;355;341;385;353;349;383;396;391;411;381;313;259;251;254;249;247;261;272;272
RS;Serbia;Southeasteurope;#NV;#NV;#NV;#NV;#NV;#NV;233;280;347;360;363;375;364;336;299;259;268;306;319
SE;Sweden;Northerneurope;425;439;465;464;461;479;491;488;485;472;441;453;454;455;443;451;447;452;434
SI;Slovenia;Centraleurope;513;478;407;418;485;494;516;525;542;524;490;415;362;414;432;449;457;471;486
SK;Slovakia;Centraleurope;254;239;270;281;261;273;284;294;313;307;319;311;306;304;320;329;348;378;414
TR;Turkey;Southeasteurope;465;476;470;465;440;458;434;433;400;419;407;416;410;406;405;400;426;425;424
UK;United Kingdom;Westerneurope;577;591;598;591;602;581;583;567;541;522;509;491;477;482;482;483;483;468;463
